Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2020-05-23,9177.0,9169.8,9303.2,9098.9,812.56K,0.08%,Bit,Bitcoin,0.81256
2020-05-22,9169.7,9058.2,9253.5,8952.1,914.59K,1.22%,Bit,Bitcoin,0.91459
2020-05-21,9059.0,9511.6,9567.1,8833.6,1.41M,-4.76%,Bit,Bitcoin,1.41
2020-05-20,9512.3,9773.0,9829.3,9368.4,1.15M,-2.67%,Bit,Bitcoin,1.15
2020-05-19,9773.3,9730.8,9883.9,9498.7,1.16M,0.44%,Bit,Bitcoin,1.16
2020-05-18,9730.7,9678.4,9930.2,9524.4,1.18M,0.55%,Bit,Bitcoin,1.18
2020-05-17,9677.7,9376.6,9866.0,9327.8,1.18M,3.18%,Bit,Bitcoin,1.18
2020-05-16,9379.5,9318.1,9579.0,9233.0,1.10M,0.66%,Bit,Bitcoin,1.1
2020-05-15,9318.0,9778.6,9819.6,9223.2,1.56M,-4.71%,Bit,Bitcoin,1.56
2020-05-14,9778.4,9298.7,9887.5,9265.8,1.77M,5.16%,Bit,Bitcoin,1.77
2020-05-13,9298.7,8813.9,9384.6,8799.1,1.50M,5.50%,Bit,Bitcoin,1.5
2020-05-12,8813.8,8569.8,8964.5,8542.8,1.35M,2.73%,Bit,Bitcoin,1.35
2020-05-11,8579.8,8737.6,9129.6,8235.6,2.29M,-1.82%,Bit,Bitcoin,2.29
2020-05-10,8738.8,9553.9,9569.4,8259.3,2.47M,-8.54%,Bit,Bitcoin,2.47
2020-05-09,9554.6,9806.0,9910.5,9533.6,1.49M,-2.57%,Bit,Bitcoin,1.49
2020-05-08,9806.2,9980.1,10018.2,9731.4,1.42M,-1.74%,Bit,Bitcoin,1.42
2020-05-07,9979.8,9152.7,10033.0,9064.8,1.91M,9.05%,Bit,Bitcoin,1.91
2020-05-06,9151.4,9000.6,9373.7,8923.6,1.62M,1.67%,Bit,Bitcoin,1.62
2020-05-05,9001.0,8874.2,9078.7,8800.4,1.05M,1.42%,Bit,Bitcoin,1.05
2020-05-04,8874.7,8885.5,8945.5,8553.2,1.12M,-0.12%,Bit,Bitcoin,1.12
2020-05-03,8885.5,8966.2,9169.9,8742.2,1.15M,-0.90%,Bit,Bitcoin,1.15
2020-05-02,8966.3,8821.6,8986.2,8771.3,890.34K,1.64%,Bit,Bitcoin,0.89034
2020-05-01,8821.6,8628.6,9040.3,8621.0,1.11M,2.23%,Bit,Bitcoin,1.11
2020-04-30,8629.0,8770.6,9437.5,8425.5,2.04M,-1.62%,Bit,Bitcoin,2.04
2020-04-29,8770.9,7746.7,8918.5,7729.7,1.83M,13.22%,Bit,Bitcoin,1.83
2020-04-28,7746.9,7766.0,7770.1,7655.3,808.09K,-0.25%,Bit,Bitcoin,0.8080900000000001
2020-04-27,7766.0,7679.4,7768.5,7637.7,980.50K,1.13%,Bit,Bitcoin,0.9805
2020-04-26,7678.9,7540.4,7679.4,7520.5,921.59K,1.84%,Bit,Bitcoin,0.92159
2020-04-25,7540.4,7503.9,7684.6,7451.0,861.93K,0.49%,Bit,Bitcoin,0.86193
